course_id,Course Name,University,Difficulty Level,Course Rating,Course URL,Course Description,Skills,Price,Status,Categories,Instructor IDs
1,Course 1,MIT,Beginner,4.0,courses_course_1,Description for course 1,Skill 1,954308,approved,"Data Science,Marketing,Language","1,1,1"
2,Course 2,MIT,Advanced,4.5,courses/course_2,Description for course 2,Skill 2,586769,approved,"Business,Photography","2,2"
3,Course 3,Stanford,Advanced,4.0,courses/course_3,Description for course 3,Skill 3,524180,rejected,Personal Development,2
4,Course 4,Coursera,Advanced,0.0,courses/course_4,Description for course 4,Skill 4,422621,unavailable,"Data Science,Music,Photography","1,1,1"
5,Course 5,MIT,Intermediate,3.666666666,courses/course_5,Description for course 5,Skill 5,401111,unavailable,"Programming,Marketing,Photography","3,3,3"
6,Course 6,Harvard,Intermediate,0.0,courses/course_6,Description for course 6,Skill 6,193304,rejected,"Programming,Business,Design","1,1,1"
7,Course 7,edX,Advanced,3.5,courses/course_7,Description for course 7,Skill 7,987808,rejected,"Business,Marketing","2,2"
8,Course 8,Coursera,Intermediate,0.0,courses/course_8,Description for course 8,Skill 8,701379,unavailable,"Design,Marketing","2,2"
9,Course 9,Harvard,Advanced,0.0,courses/course_9,Description for course 9,Skill 9,168873,unavailable,Music,3
10,Course 10,Coursera,Intermediate,0.0,courses/course_10,Description for course 10,Skill 10,193405,rejected,"Data Science,Language","3,3"
11,Course 11,Coursera,Advanced,0.0,courses/course_11,Description for course 11,Skill 11,279126,unavailable,Personal Development,3
12,Course 12,MIT,Intermediate,3.0,courses/course_12,Description for course 12,Skill 12,682586,approved,"Personal Development,Music,Photography","2,2,2"
13,Course 13,Harvard,Beginner,5.0,courses/course_13,Description for course 13,Skill 13,989463,pending,"Business,Personal Development","2,2"
14,Course 14,Udemy,Advanced,4.0,courses/course_14,Description for course 14,Skill 14,468063,approved,"Design,Language","2,2"
15,Course 15,Stanford,Beginner,0.0,courses/course_15,Description for course 15,Skill 15,695233,unavailable,"Programming,Language","1,1"
16,Course 16,Stanford,Intermediate,3.5,courses/course_16,Description for course 16,Skill 16,412038,approved,"Data Science,Business,Photography","3,3,3"
17,Course 17,Local University,Advanced,4.0,courses/course_17,Description for course 17,Skill 17,880380,rejected,Business,2
