index,Random,course_id,userid_DI,registered,viewed,explored,certified,final_cc_cname_DI,LoE_DI,YoB,gender,grade,start_time_DI,last_event_DI,nevents,ndays_act,nplay_video,nchapters,nforum_posts,roles,incomplete_flag
0,690,32,user_760f7de0-1c11-4764-985c-4604748363f7,1,1,0,0,United Kingdom,Bachelor,1988,,0.9,2025-05-25 13:42:32,2025-05-28 13:42:32,28,12,19,10,5,,1
1,313,1592,user_760f7de0-1c11-4764-985c-4604748363f7,1,1,0,0,United Kingdom,Bachelor,1988,,0.38,2025-01-04 13:42:32,2025-01-29 13:42:32,39,6,2,10,5,,0
2,797,977,user_3fcd3fbe-d9d7-4aa2-b65e-676922b41af1,1,1,1,0,India,Associate,1982,Other,0.08,2025-01-17 13:42:32,2025-02-11 13:42:32,50,8,3,5,1,,0
3,272,1178,user_3e3982fd-2322-49ea-b99b-4f6d7e1ad004,1,0,0,0,Canada,Bachelor,1994,Male,0.53,2025-03-12 13:42:32,,0,0,0,0,0,,0
4,895,1272,user_3e3982fd-2322-49ea-b99b-4f6d7e1ad004,1,1,1,1,Canada,Bachelor,1994,Male,0.7,2025-04-10 13:42:32,2025-05-01 13:42:32,26,12,19,3,4,,0
5,848,1656,user_3e3982fd-2322-49ea-b99b-4f6d7e1ad004,1,0,0,0,Canada,Bachelor,1994,Male,0.9,2024-12-27 13:42:32,,0,0,0,0,0,,0
6,475,666,user_267733c3-5d6f-40d0-bcc7-0c228295306a,1,1,1,0,China,Master,1986,Prefer not to say,0.58,2025-01-13 13:42:32,2025-01-18 13:42:32,8,5,6,6,0,,0
7,978,2062,user_267733c3-5d6f-40d0-bcc7-0c228295306a,1,1,1,1,China,Master,1986,Prefer not to say,0.85,2025-01-25 13:42:32,2025-02-03 13:42:32,30,7,16,10,2,,1
8,838,2709,user_267733c3-5d6f-40d0-bcc7-0c228295306a,1,1,0,0,China,Master,1986,Prefer not to say,0.33,2025-02-13 13:42:32,2025-02-28 13:42:32,38,10,13,1,5,,0
9,258,334,user_130c9a1a-d62d-4af3-a433-1555533555d9,1,1,1,1,Unknown,PhD,1981,Prefer not to say,0.29,2025-05-08 13:42:32,2025-06-03 13:42:32,20,12,4,2,0,,0
10,184,977,user_130c9a1a-d62d-4af3-a433-1555533555d9,1,1,1,0,Unknown,PhD,1981,Prefer not to say,0.53,2025-05-23 13:42:32,2025-06-03 13:42:32,47,7,20,9,1,,0
