user_id,quiz_id,score,started_at,completed_at
1,37,99.0,2025-04-14 13:10:02,2025-04-14 13:10:02
2,613,61.0,2025-04-11 13:52:02,2025-04-11 13:52:02
2,614,77.0,2025-04-11 13:21:02,2025-04-11 13:21:02
3,252,67.0,2025-05-15 13:19:02,2025-05-15 13:19:02
3,253,61.0,2025-05-15 13:20:02,2025-05-15 13:20:02
3,570,89.0,2025-04-28 13:49:02,2025-04-28 13:49:02
4,118,72.0,2025-05-18 13:53:02,2025-05-18 13:53:02
4,119,64.0,2025-04-01 13:48:02,2025-04-01 13:48:02
4,120,79.0,2025-05-01 13:33:02,2025-05-01 13:33:02
4,121,90.0,2025-04-20 13:48:02,2025-04-20 13:48:02
4,122,69.0,2025-05-04 13:27:02,2025-05-04 13:27:02
4,123,90.0,2025-05-04 13:17:02,2025-05-04 13:17:02
4,124,69.0,2025-04-04 13:24:02,2025-04-04 13:24:02
4,125,95.0,2025-04-04 13:29:02,2025-04-04 13:29:02
4,127,88.0,2025-05-21 13:40:02,2025-05-21 13:40:02
4,153,65.0,2025-04-01 13:56:02,2025-04-01 13:56:02
4,154,78.0,2025-04-01 13:43:02,2025-04-01 13:43:02
4,155,80.0,2025-04-26 13:37:02,2025-04-26 13:37:02
4,156,71.0,2025-04-26 13:40:02,2025-04-26 13:40:02
4,157,97.0,2025-05-15 13:10:02,2025-05-15 13:10:02
4,158,80.0,2025-05-15 13:22:02,2025-05-15 13:22:02
4,349,99.0,2025-05-23 13:15:02,2025-05-23 13:15:02
4,350,93.0,2025-05-23 13:18:02,2025-05-23 13:18:02
4,351,78.0,2025-05-03 13:36:02,2025-05-03 13:36:02
4,352,68.0,2025-05-17 13:42:02,2025-05-17 13:42:02
4,353,88.0,2025-05-17 13:14:02,2025-05-17 13:14:02
4,354,87.0,2025-04-17 13:50:02,2025-04-17 13:50:02
4,355,79.0,2025-04-22 13:52:02,2025-04-22 13:52:02
4,356,76.0,2025-04-22 13:23:02,2025-04-22 13:23:02
4,357,91.0,2025-04-26 13:44:02,2025-04-26 13:44:02
8,108,95.0,2025-05-03 13:36:02,2025-05-03 13:36:02
8,121,62.0,2025-04-04 13:10:02,2025-04-04 13:10:02
8,325,92.0,2025-05-25 13:28:02,2025-05-25 13:28:02
8,326,82.0,2025-05-25 13:18:02,2025-05-25 13:18:02
8,455,86.0,2025-04-12 13:12:02,2025-04-12 13:12:02
8,456,69.0,2025-04-12 13:42:02,2025-04-12 13:42:02
8,458,64.0,2025-05-07 13:34:02,2025-05-07 13:34:02
8,481,64.0,2025-05-15 13:49:02,2025-05-15 13:49:02
8,482,92.0,2025-05-15 13:47:02,2025-05-15 13:47:02
8,483,88.0,2025-04-18 13:58:02,2025-04-18 13:58:02
8,484,67.0,2025-04-18 13:50:02,2025-04-18 13:50:02
8,485,70.0,2025-04-28 13:11:02,2025-04-28 13:11:02
8,486,77.0,2025-04-04 13:24:02,2025-04-04 13:24:02
8,487,100.0,2025-05-03 13:20:02,2025-05-03 13:20:02
8,488,72.0,2025-05-03 13:15:02,2025-05-03 13:15:02
9,9,94.0,2025-04-20 13:11:02,2025-04-20 13:11:02
9,10,86.0,2025-04-20 13:59:02,2025-04-20 13:59:02
9,11,64.0,2025-05-23 13:10:02,2025-05-23 13:10:02
9,12,94.0,2025-05-23 13:48:02,2025-05-23 13:48:02
9,13,99.0,2025-04-15 13:38:02,2025-04-15 13:38:02
9,14,65.0,2025-05-05 13:27:02,2025-05-05 13:27:02
9,15,63.0,2025-05-02 13:30:02,2025-05-02 13:30:02
9,16,75.0,2025-04-26 13:25:02,2025-04-26 13:25:02
9,17,65.0,2025-05-27 13:21:02,2025-05-27 13:21:02
9,18,85.0,2025-05-27 13:34:02,2025-05-27 13:34:02
9,19,82.0,2025-05-23 13:24:02,2025-05-23 13:24:02
9,20,66.0,2025-04-15 13:36:02,2025-04-15 13:36:02
9,21,93.0,2025-04-15 13:14:02,2025-04-15 13:14:02
