course_id,course_title,url,image,course_rating,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject
2,"Complete GST Course & Certification - Grow Your CA Practice",goods-and-services-tax,https://res.cloudinary.com/dj11e209p/image/upload/v1753832986/courses/vg4gi7nlekemzzqb8yqe.jpg,2.5294,True,134,37,17,3,Beginner,0.6,"2017-03-09 16:34:20","Business Finance"
3,"Financial Modeling for Business Analysts and Consultants",financial-modeling-for-business-analysts-and-consultants,https://res.cloudinary.com/dj11e209p/image/upload/v1753832986/courses/vg4gi7nlekemzzqb8yqe.jpg,3.5,True,106,29,14,3,Intermediate,0.6,"2016-12-19 19:26:30","Business Finance"
4,"Beginner to Pro - Financial Analysis in Excel 2017",complete-excel-finance-course-from-beginner-to-pro,https://res.cloudinary.com/dj11e209p/image/upload/v1753832986/courses/vg4gi7nlekemzzqb8yqe.jpg,3.5455,True,118,19,11,3,Beginner,0.6,"2017-05-30 20:07:24","Business Finance"
5,"How To Maximize Your Profits Trading Options",how-to-maximize-your-profits-trading-options,https://res.cloudinary.com/dj11e209p/image/upload/v1753832986/courses/vg4gi7nlekemzzqb8yqe.jpg,2.6667,True,14,6,6,3,Intermediate,0.6,"2016-12-13 14:57:18","Business Finance"
6,"Trading Stock Chart Patterns For Immediate, Explosive Gains",trading-chart-patterns-for-immediate-explosive-gains,https://res.cloudinary.com/dj11e209p/image/upload/v1753832986/courses/vg4gi7nlekemzzqb8yqe.jpg,0,True,75,0,0,3,Beginner,0.6,"2015-01-30 22:13:03","Business Finance"
7,"The Only Investment Strategy You Need For Your Retirement",the-only-investment-strategy-you-need-for-your-retirement,https://res.cloudinary.com/dj11e209p/image/upload/v1753832986/courses/vg4gi7nlekemzzqb8yqe.jpg,0,True,178,0,0,3,Beginner,0.6,"2017-04-18 18:13:32","Business Finance"
8,"Trading Options With Money Flow",trading-options-using-money-flow,https://res.cloudinary.com/dj11e209p/image/upload/v1753832986/courses/vg4gi7nlekemzzqb8yqe.jpg,0,True,17,0,0,3,Beginner,0.6,"2016-10-18 22:52:31","Business Finance"
9,"Financial Management Risk and Return For Securities",risk-and-return-finance,https://res.cloudinary.com/dj11e209p/image/upload/v1753832986/courses/vg4gi7nlekemzzqb8yqe.jpg,0,True,191,0,0,3,Beginner,0.6,"2016-02-03 18:04:01","Business Finance"
10,"7 Deadly Mistakes of Investing that Will Slash Your Profits!",7-deadly-mistakes-of-investing,https://res.cloudinary.com/dj11e209p/image/upload/v1753832986/courses/vg4gi7nlekemzzqb8yqe.jpg,0,True,6,0,0,3,Beginner,0.6,"2015-09-21 18:10:34","Business Finance"
11,"Financial Statements Made Easy",intro-to-financial-statements-for-entrepreneurs,https://res.cloudinary.com/dj11e209p/image/upload/v1753832986/courses/vg4gi7nlekemzzqb8yqe.jpg,0,True,74,0,0,3,Beginner,0.6,"2013-06-09 00:21:26","Business Finance"
