user_id,course_id,comment,rating,"created_at as enrolled_at"
2,3,"Great course, very informative!",3,"2025-07-28 18:13:48"
2,4,"Great course, very informative!",4,"2025-07-28 18:13:48"
3,3,"Could be improved with more examples.",1,"2025-07-28 18:13:48"
3,4,"Excellent instructor!",1,"2025-07-28 18:13:48"
6,1,"Could be improved with more examples.",3,"2025-07-28 18:13:49"
7,1,"Great course, very informative!",4,"2025-07-28 18:13:49"
7,2,"Not what I expected.",1,"2025-07-28 18:13:49"
8,2,"Not what I expected.",2,"2025-07-28 18:13:49"
8,4,"Great course, very informative!",3,"2025-07-28 18:13:49"
9,3,"Great course, very informative!",4,"2025-07-28 18:13:49"
9,4,"Could be improved with more examples.",4,"2025-07-28 18:13:49"
9,5,"Great course, very informative!",5,"2025-07-28 18:13:49"
10,1,"Great course, very informative!",5,"2025-07-28 18:13:49"
10,2,"Great course, very informative!",5,"2025-07-28 18:13:49"
10,4,"Could be improved with more examples.",3,"2025-07-28 18:13:49"
11,1,"Could be improved with more examples.",3,"2025-07-28 18:13:49"
11,5,"Not what I expected.",2,"2025-07-28 18:13:49"
12,1,"Excellent instructor!",4,"2025-07-28 18:13:49"
12,2,"Great course, very informative!",5,"2025-07-28 18:13:49"
12,4,"Not what I expected.",5,"2025-07-28 18:13:49"
13,3,"Excellent instructor!",5,"2025-07-28 18:13:49"
14,1,"Excellent instructor!",2,"2025-07-28 18:13:49"
14,3,"Could be improved with more examples.",3,"2025-07-28 18:13:49"
14,4,"Not what I expected.",3,"2025-07-28 18:13:49"
14,5,"Not what I expected.",1,"2025-07-28 18:13:49"
15,1,"Excellent instructor!",2,"2025-07-28 18:13:49"
15,2,"Could be improved with more examples.",1,"2025-07-28 18:13:49"
15,3,"Not what I expected.",4,"2025-07-28 18:13:49"
17,1,"Excellent instructor!",2,"2025-07-28 18:13:49"
17,2,"Not what I expected.",2,"2025-07-28 18:13:49"
19,3,"Not what I expected.",5,"2025-07-28 18:13:49"
19,5,"Not what I expected.",1,"2025-07-28 18:13:49"
22,1,"Could be improved with more examples.",5,"2025-07-28 18:13:49"
22,2,"Excellent instructor!",5,"2025-07-28 18:13:49"
22,5,"Not what I expected.",4,"2025-07-28 18:13:49"
23,2,"Could be improved with more examples.",4,"2025-07-28 18:13:49"
23,3,"Could be improved with more examples.",3,"2025-07-28 18:13:49"
24,1,"Excellent instructor!",4,"2025-07-28 18:13:49"
26,1,"Great course, very informative!",4,"2025-07-28 18:13:49"
26,4,"Great course, very informative!",1,"2025-07-28 18:13:49"
27,1,"Great course, very informative!",4,"2025-07-28 18:13:49"
28,1,"Great course, very informative!",2,"2025-07-28 18:13:49"
29,3,"Excellent instructor!",4,"2025-07-28 18:13:49"
30,3,"Great course, very informative!",5,"2025-07-28 18:13:49"
31,1,"Excellent instructor!",1,"2025-07-28 18:13:49"
31,3,"Excellent instructor!",5,"2025-07-28 18:13:49"
31,4,"Not what I expected.",2,"2025-07-28 18:13:49"
32,1,"Excellent instructor!",2,"2025-07-28 18:13:49"
32,2,"Great course, very informative!",3,"2025-07-28 18:13:49"
33,1,"Not what I expected.",4,"2025-07-28 18:13:49"
33,2,"Not what I expected.",5,"2025-07-28 18:13:49"
33,3,"Great course, very informative!",2,"2025-07-28 18:13:49"
33,4,"Not what I expected.",1,"2025-07-28 18:13:49"
34,2,"Not what I expected.",4,"2025-07-28 18:13:49"
34,4,"Could be improved with more examples.",4,"2025-07-28 18:13:49"
35,2,"Could be improved with more examples.",2,"2025-07-28 18:13:49"
36,5,"Not what I expected.",3,"2025-07-28 18:13:49"
37,3,"Could be improved with more examples.",5,"2025-07-28 18:13:49"
39,1,"Could be improved with more examples.",3,"2025-07-28 18:13:49"
40,1,"Could be improved with more examples.",4,"2025-07-28 18:13:49"
40,2,"Not what I expected.",1,"2025-07-28 18:13:49"
42,1,"Could be improved with more examples.",2,"2025-07-28 18:13:49"
42,2,"Could be improved with more examples.",5,"2025-07-28 18:13:49"
42,3,"Excellent instructor!",1,"2025-07-28 18:13:49"
42,4,"Great course, very informative!",5,"2025-07-28 18:13:49"
43,1,"Great course, very informative!",5,"2025-07-28 18:13:49"
44,2,"Could be improved with more examples.",3,"2025-07-28 18:13:49"
44,3,"Could be improved with more examples.",1,"2025-07-28 18:13:49"
44,4,"Excellent instructor!",1,"2025-07-28 18:13:49"
45,1,"Not what I expected.",2,"2025-07-28 18:13:49"
47,1,"Not what I expected.",1,"2025-07-28 18:13:49"
48,1,"Excellent instructor!",5,"2025-07-28 18:13:49"
49,1,"Not what I expected.",2,"2025-07-28 18:13:49"
