course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject
1,"Ultimate Investment Banking Course",ultimate-investment-banking-course,True,18,50,24,3,Beginner,67,"2017-01-18 20:58:58","Business Finance"
2,"Complete GST Course & Certification - Grow Your CA Practice",goods-and-services-tax,True,46,38,15,3,Beginner,37,"2017-03-09 16:34:20","Business Finance"
3,"Financial Modeling for Business Analysts and Consultants",financial-modeling-for-business-analysts-and-consultants,True,5,28,15,3,Intermediate,60,"2016-12-19 19:26:30","Business Finance"
4,"Beginner to Pro - Financial Analysis in Excel 2017",complete-excel-finance-course-from-beginner-to-pro,True,198,24,13,3,Beginner,39,"2017-05-30 20:07:24","Business Finance"
5,"How To Maximize Your Profits Trading Options",how-to-maximize-your-profits-trading-options,True,128,14,6,3,Intermediate,54,"2016-12-13 14:57:18","Business Finance"
6,"Trading Stock Chart Patterns For Immediate, Explosive Gains",trading-chart-patterns-for-immediate-explosive-gains,True,126,0,0,3,Beginner,23,"2015-01-30 22:13:03","Business Finance"
7,"The Only Investment Strategy You Need For Your Retirement",the-only-investment-strategy-you-need-for-your-retirement,True,179,0,0,3,Beginner,58,"2017-04-18 18:13:32","Business Finance"
8,"Trading Options With Money Flow",trading-options-using-money-flow,True,123,0,0,3,Beginner,54,"2016-10-18 22:52:31","Business Finance"
9,"Financial Management Risk and Return For Securities",risk-and-return-finance,True,76,0,0,3,Beginner,46,"2016-02-03 18:04:01","Business Finance"
10,"7 Deadly Mistakes of Investing that Will Slash Your Profits!",7-deadly-mistakes-of-investing,True,175,0,0,3,Beginner,79,"2015-09-21 18:10:34","Business Finance"
11,"Financial Statements Made Easy",intro-to-financial-statements-for-entrepreneurs,True,200,0,0,3,Beginner,43,"2013-06-09 00:21:26","Business Finance"
12,"Winning Forex Trading with Live Forex Trading Examples",forexmacross,True,16,0,0,3,Beginner,75,"2017-06-06 02:54:04","Business Finance"
