user_id,userid_DI
15562,MHxPC130064950
15566,MHxPC130274988
15567,MHxPC130283854
15568,MHxPC130068486
15570,MHxPC130153660
15578,MHxPC130317399
15580,MHxPC130267000
15586,MHxPC130418582
15590,MHxPC130110073
15591,MHxPC130292159
15592,MHxPC130260706
15595,MHxPC130129996
15597,MHxPC130465655
15598,MHxPC130320562
15601,MHxPC130442901
15608,MHxPC130122866
15611,MHxPC130452364
15640,MHxPC130120897
15645,MHxPC130348317
15647,MHxPC130154482
15649,MHxPC130123976
15651,MHxPC130273620
15657,MHxPC130581135
15660,MHxPC130263156
15664,MHxPC130487886
15667,MHxPC130037995
15671,MHxPC130470705
15678,MHxPC130276711
15679,MHxPC130111768
15684,MHxPC130500770
15692,MHxPC130517323
15704,MHxPC130029550
15705,MHxPC130184586
15709,MHxPC130570016
15713,MHxPC130349261
15721,MHxPC130301925
15722,MHxPC130012046
15726,MHxPC130494943
15731,MHxPC130201936
15733,MHxPC130519037
15736,MHxPC130186158
15737,MHxPC130142088
15744,MHxPC130256392
15746,MHxPC130016900
15748,MHxPC130431340
15749,MHxPC130563787
15758,MHxPC130127888
15760,MHxPC130027312
15763,MHxPC130530275
15767,MHxPC130012669
15775,MHxPC130412702
15778,MHxPC130351196
15780,MHxPC130357939
15782,MHxPC130344115
15786,MHxPC130056870
15789,MHxPC130124561
15790,MHxPC130155225
15797,MHxPC130490161
15799,MHxPC130446050
15801,MHxPC130279041
15805,MHxPC130311176
15808,MHxPC130101195
15816,MHxPC130433272
15818,MHxPC130360177
15829,MHxPC130386513
15831,MHxPC130387960
15833,MHxPC130463156
15837,MHxPC130118631
15841,MHxPC130178412
15845,MHxPC130590014
15848,MHxPC130354222
15852,MHxPC130387892
15870,MHxPC130160487
15874,MHxPC130169423
15883,MHxPC130312432
15888,MHxPC130350657
15891,MHxPC130378521
15893,MHxPC130436713
15896,MHxPC130591909
15901,MHxPC130204870
15908,MHxPC130359524
15910,MHxPC130145458
15911,MHxPC130482998
15914,MHxPC130343206
15916,MHxPC130329797
15920,MHxPC130308947
15923,MHxPC130439781
15926,MHxPC130097601
15933,MHxPC130151822
15934,MHxPC130025158
15941,MHxPC130220466
15946,MHxPC130491197
15947,MHxPC130440403
15948,MHxPC130243903
15949,MHxPC130100085
15951,MHxPC130193978
15957,MHxPC130097621
15958,MHxPC130586797
15961,MHxPC130028450
15963,MHxPC130431650
15964,MHxPC130443629
15970,MHxPC130215246
15975,MHxPC130232404
15976,MHxPC130035727
15978,MHxPC130563436
15981,MHxPC130483632
15986,MHxPC130578346
15995,MHxPC130052160
16000,MHxPC130401780
16002,MHxPC130138714
16017,MHxPC130396363
16022,MHxPC130528063
16025,MHxPC130215112
16026,MHxPC130446153
16036,MHxPC130334212
16037,MHxPC130254805
16044,MHxPC130359874
16056,MHxPC130421999
16062,MHxPC130579198
16064,MHxPC130059383
16072,MHxPC130364075
16078,MHxPC130095311
16079,MHxPC130106629
16081,MHxPC130277250
16088,MHxPC130237271
16098,MHxPC130144610
16109,MHxPC130409831
16112,MHxPC130411623
16113,MHxPC130226849
16125,MHxPC130269097
16128,MHxPC130315783
16131,MHxPC130139921
16134,MHxPC130016086
16135,MHxPC130215301
16142,MHxPC130308030
